transaction_id,date,product_id,region,channel,units_sold,avg_price,discount_pct,revenue,days_since_launch
4d3d0884-9090-452e-a328-b6fb73fb8445,2023-11-07,PC004,Yogyakarta,Hypermarket,5,23036.19,5,115180.97,920
5f4e083e-2f13-48ae-8edd-023039e4fdf1,2020-08-03,PC003,Denpasar,Tokopedia,7,28865.5,0,202058.52,136
2f74e58c-6477-4855-960b-d5e99a50d86b,2024-08-22,PC011,Bali,Shopee,3,36574.74,0,109724.23,865
a71eb6e9-1641-4992-9e4d-671563b9113c,2025-02-04,PC015,Palembang,Shopee,2,17780.43,0,35560.85,1526
8596ee0a-0637-4591-bf50-3cc4ab812349,2023-12-02,PC010,Palembang,Hypermarket,3,43936.33,0,131808.99,259
c095e92b-6203-4401-a349-4cc5470e798c,2024-09-07,PC001,Jakarta,Official Store,2,31625.4,5,63250.8,1666
af4106e0-f588-4474-b795-4d284a2f4b3a,2020-03-12,PC009,Makassar,Shopee,2,30344.41,5,60688.82,-192
e938bcf2-2d0c-43e6-8347-35bc9ffcffda,2022-09-17,PC005,Palembang,Indomaret,3,33129.84,0,99389.51,309
00d8c6fa-3828-45f8-b9f7-d1371cfdd837,2020-09-22,PC009,Bali,Alfamart,1,30283.98,5,30283.98,2
1463e365-3d7a-46bf-8d48-6eb90bbfb411,2023-12-29,PC011,Denpasar,Alfamart,3,34299.03,0,102897.1,628
8ec352f3-386f-41b4-9d0d-0abf83ff554e,2025-11-23,PC007,Medan,Shopee,8,30122.99,20,240983.91,1270
cc770b66-18d3-45ba-ab87-1c489f42959b,2021-09-03,PC014,Semarang,Official Store,3,27989.71,20,83969.12,-1002
afd2e561-64c9-411d-976f-f9b4c282314c,2021-06-26,PC015,Medan,Shopee,4,18435.04,0,73740.18,207
6cc6558f-ad0b-43c3-a37b-ee1e167c7edd,2021-12-21,PC014,Makassar,Official Store,5,31483.62,20,157418.1,-893
9c9a5b5b-b1ed-4773-afa7-c3861ed82b82,2024-10-25,PC001,Makassar,Hypermarket,4,32915.04,0,131660.15,1714
ec852aad-952c-4681-9e38-9f55b2f47ac3,2025-01-11,PC011,Semarang,Official Store,3,31719.81,5,95159.42,1007
